unit_id,m1_int,m1_slope_time,m2_int,m2_slope_time,m3_int,m3_slope_time,Change_Sign,Change_Category,size_category.x,carnegie_category.x,m1_outlier_slope,N_year,institution_name,year,pct_pell,overall_enrollment,pct_race_minority,avg_net_price_w_aid,applicants,admissions_rate,stabbr,locale_rural,hs_grad_state,pct_bachelors_2018_state,carnegie,sector,first_time_enrollment,year_0,log_fyr,log_hs,log_apps,log_price,sy_fyr,x_year,sxl_hs,sx_bach,x_rural,sx_pell,sx_race_minority,sx_price,sxl_apps,sx_admit_rate,carnegie_category.y,size_category.y,m1_fitted_link,m1_fitted_resp,m1_residual,m2_fitted_link,m2_fitted_resp,m2_residual,m3_fitted_link,m3_fitted_resp,m3_residual
176628,4.9327701211684705,0.2043166215637621,5.064389215724438,0.2044182432379503,5.5365699896430955,0.09855355917704918,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Avila University,2023,49,1196,57,17482,2862,0.5953878406708596,MO,City/Suburb,67773,29.5,M,private,381,4,5.942799375126701,11.123919164525333,7.959275960116396,9.768927059140433,-0.3390515679142738,4,-0.41898374610306166,-0.7063003327617595,City/Suburb,1.4740401778702874,0.66860123515625,-1.1486727307746818,-0.3338053196359719,-0.3477448061841777,M,1k-5k,5.750036607423519,314.2021622067876,3.6454839738229263,5.750615625035824,314.38414347262426,3.6348733835578084,5.6817580584600655,293.46490513120506,4.882959508575342
176628,4.9327701211684705,0.2043166215637621,5.064389215724438,0.2044182432379503,5.5365699896430955,0.09855355917704918,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Avila University,2022,51,978,53,17210,2712,0.6762536873156342,MO,City/Suburb,66781,29.5,M,private,184,3,5.214935757608986,11.109173887928804,7.905441649060286,9.753245889205585,-1.3094691200875588,3,-0.4355467117468003,-0.7063003327617595,City/Suburb,1.626688946117134,0.46481052521706195,-1.1831860424617058,-0.3855923751842918,0.006318990093180681,M,1k-5k,5.545719985859757,256.13892827709145,-4.748606170014442,5.544860031357244,255.91875513546162,-4.735544058665722,5.621390003715011,276.2731371503071,-5.913637774973771
176628,4.9327701211684705,0.2043166215637621,5.064389215724438,0.2044182432379503,5.5365699896430955,0.09855355917704918,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Avila University,2021,47,1024,50,18581,2069,0.680038666022233,MO,City/Suburb,66906,29.5,M,private,217,2,5.37989735354046,11.111043928193418,7.634820677745543,9.829894832232755,-1.0895355717226096,2,-0.433446146697889,-0.7063003327617595,City/Suburb,1.3213914096234405,0.31196749276267094,-1.0092237250980658,-0.6459219493736936,0.022891177058268545,M,1k-5k,5.341403364295995,208.80553500379375,0.563437076952833,5.340611394918834,208.64023288003898,0.5749537388900319,5.405366449229682,222.59777632352848,-0.3767825870903447
176628,4.9327701211684705,0.2043166215637621,5.064389215724438,0.2044182432379503,5.5365699896430955,0.09855355917704918,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Avila University,2020,44,1058,49,18711,1513,0.5446133509583608,MO,City/Suburb,67892,29.5,M,private,151,1,5.017279836814924,11.125673486281421,7.321849713788356,9.836866865194231,-1.572992079902021,1,-0.41701316448772613,-0.7063003327617595,City/Suburb,1.0924182572531702,0.261019815277874,-0.9927283923064734,-0.9469909958145242,-0.570056317502716,M,1k-5k,5.137086742732233,170.2191531037182,-1.5022052524236449,5.13752000681494,170.292918927834,-1.5077488237976606,5.06987249897747,159.15403374755493,-0.6519842958392544
176628,4.9327701211684705,0.2043166215637621,5.064389215724438,0.2044182432379503,5.5365699896430955,0.09855355917704918,Positive,Growth (>2.5%),1k-5k,M,Outlier Growth,5,Avila University,2019,49,1153,47,17048,1712,0.411214953271028,MO,City/Suburb,68482,29.5,M,private,153,0,5.030437921392435,11.134326215996625,7.445417556701687,9.743788173778453,-1.555449183238847,0,-0.407293790011481,-0.7063003327617595,City/Suburb,1.4740401778702874,0.15912446030827995,-1.2037417648635365,-0.8281222925767496,-1.1541291376386547,M,1k-5k,4.9327701211684705,138.76337177949142,1.1887348011714505,4.933886539082659,138.91837620233676,1.175361813002811,4.93642299029809,139.27118313613786,1.1449607797411432
195234,6.389567775325269,-0.23391742971081095,6.230287128445581,-0.23422090351341623,5.983006640380122,-0.09758687812458587,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,The College of Saint Rose,2023,39,1250,47,24618,2827,0.7339936328263177,NY,City/Suburb,211853,37.2,M,private,288,4,5.662960480135946,12.263647916917385,7.946971357693591,10.11123316167024,-0.7121442310781887,4,0.8612423687122508,0.6512809495136159,City/Suburb,0.710796336636053,0.15912446030827995,-0.2432058476915777,-0.34564199250628413,0.25912811968981553,M,1k-5k,5.453898056482025,233.6672410470382,3.4284746052340633,5.4529554292929046,233.44708373185776,3.4434106274604144,5.499561586406337,244.58467950710724,2.6994669478379194
195234,6.389567775325269,-0.23391742971081095,6.230287128445581,-0.23422090351341623,5.983006640380122,-0.09758687812458587,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,The College of Saint Rose,2022,41,1432,48,23294,2456,0.7801302931596091,NY,City/Suburb,213993,37.2,M,private,240,3,5.480638923341991,12.273698583188622,7.806289289267033,10.055951095662596,-0.9552227894704909,3,0.8725320070623631,0.6512809495136159,City/Suburb,0.8634451048828998,0.21007213779307696,-0.4112044678151805,-0.48097408739768555,0.4611333145024237,M,1k-5k,5.687815486192836,295.2479424439807,-3.3243247012823613,5.688087896782653,295.32838206592913,-3.328852186616394,5.566290765411199,261.4624727114637,-1.3461282367248064
195234,6.389567775325269,-0.23391742971081095,6.230287128445581,-0.23422090351341623,5.983006640380122,-0.09758687812458587,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,The College of Saint Rose,2021,42,1798,47,23474,4525,0.7633149171270718,NY,City/Suburb,217586,37.2,M,private,310,2,5.736572297479192,12.290349453658838,8.417372856134026,10.06364870466007,-0.6140019446964666,2,0.8912354741510341,0.6512809495136159,City/Suburb,0.9397694890063233,0.15912446030827995,-0.38836477625759097,0.10687069042481724,0.3875087112745021,M,1k-5k,5.921732915903648,373.0576315567327,-3.363878667595327,5.923818982137313,373.83666676214386,-3.4029970667417477,5.928712813139033,375.67064415899716,-3.4948774812420176
195234,6.389567775325269,-0.23391742971081095,6.230287128445581,-0.23422090351341623,5.983006640380122,-0.09758687812458587,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,The College of Saint Rose,2020,44,2249,47,21818,6373,0.8187666718970658,NY,City/Suburb,209688,37.2,M,private,491,1,6.19644412779452,12.25337599064604,8.759825595314295,9.990490596157702,-8.820069119853361e-4,1,0.8497041950595866,0.6512809495136159,City/Suburb,1.0924182572531702,0.15912446030827995,-0.5984899385874145,0.43630035486537483,0.6302992046499135,M,1k-5k,6.1556503456144585,471.3732983562614,0.8978256029674021,6.1546865082672655,470.91919004526585,0.918891977490373,6.221031430388791,503.2220029023234,-0.5470600123140373
195234,6.389567775325269,-0.23391742971081095,6.230287128445581,-0.23422090351341623,5.983006640380122,-0.09758687812458587,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,The College of Saint Rose,2019,45,2433,46,23047,6566,0.8746573256168139,NY,City/Suburb,212104,37.2,M,private,640,0,6.461468176353717,12.264831999403704,8.789660098061537,10.045290888110491,0.3524588969059064,0,0.8625724161624874,0.6512809495136159,City/Suburb,1.1687426413765936,0.10817678282348296,-0.4425456001192061,0.4650002865765392,0.8750113773841613,M,1k-5k,6.389567775325269,595.5990914220744,1.7974137421758365,6.389946435922385,595.8246640347089,1.7880592332255136,6.372772136655134,585.6791632493898,2.2111665050300595
211352,6.033244892864908,-0.2251583028411681,6.040515974083525,-0.22466770207687733,6.09783913967417,-0.2041758919006702,Negative,Decline (>2.5%),1k-5k,M,Outlier Decline,5,Cabrini University,2023,37,710,52,24733,2467,0.6919335224969598,PA,City/Suburb,142275,31.8,M,private,76,4,4.330733340286331,11.865517083471325,7.810758116529357,10.115893663307597,-2.4883239560665924,4,0.4140328997740635,-0.3007890406535305,City/Suburb,0.5581475683892061,0.41386284773226495,-0.22861382252978438,-0.47667520437810734,0.07497173039887042,M,1k-5k,5.132611681500236,169.45911385020878,-8.064286691078392,5.1337041331930475,169.64434090337915,-8.076949998912795,5.050684759463703,156.1293389329706,-7.129239942026126
